Column1,Column2,Number
5.68E+01,1.29E+02,592
5.18E+01,-1.40E+02,593
5.07E+01,-3.05E+01,594
5.77E+01,8.54E+01,595
-1.39E+00,-1.56E+02,596
-3.37E+00,-5.82E+01,597
-8.60E+00,8.02E+01,598
6.74E+01,3.39E+01,599
3.40E+01,3.34E+01,600
3.17E+01,-1.35E+02,601
3.76E+01,-5.81E+01,602
-1.76E+01,6.83E+01,603
1.35E+01,-1.93E+02,604
5.29E+01,-7.82E+01,605
-4.19E+01,4.91E+01,606
5.63E-01,-1.75E+02,607
-4.53E+01,4.21E+01,608
3.14E+01,-1.70E+02,609
-3.47E+01,4.54E+01,610
-2.97E+01,2.22E+01,611
-7.83E+00,-1.60E+02,612
-1.21E+01,-9.47E+01,613
-1.65E+01,9.12E+01,614
5.45E+01,-1.30E+02,615
-9.01E+01,3.68E+01,616
6.67E+01,1.31E+02,617
-5.48E+00,2.72E+01,618
4.25E+01,-1.18E+02,619
4.68E+01,4.68E+01,620
3.05E+01,-9.28E+01,621
5.43E+01,6.16E+01,622
-3.51E+01,5.65E+01,623
6.00E+01,-1.41E+02,624
8.90E+01,6.03E+01,625
6.32E+01,-8.20E+01,626
6.15E+01,7.36E+01,627
-3.57E+01,-4.29E+01,628
-6.54E+01,1.43E+02,629
6.92E+00,-1.17E+02,630
6.68E-01,4.03E+01,631
-2.11E+01,-1.18E+02,632
-6.22E+01,7.89E+01,633
-1.17E+01,-1.52E+02,634
-4.80E+01,3.07E+01,635
1.87E+01,-1.61E+02,636
1.52E+01,-5.01E+01,637
1.55E+01,6.32E+01,638
-4.72E+01,-1.67E+02,639
7.56E+01,-6.63E+01,640
6.35E+01,6.76E+01,641
1.08E+01,-1.43E+02,642
-2.99E+01,3.68E+01,643
9.47E+00,-1.43E+02,644
3.32E+00,-4.49E+01,645
-1.87E+01,1.11E+02,646
-6.16E+00,-1.12E+02,647
-2.03E+01,3.94E+01,648
-3.45E+01,-1.35E+01,649
3.21E+00,-1.32E+02,650
7.38E+01,7.54E+01,651
4.69E+01,-1.53E+02,652
4.73E+01,3.38E+01,653
3.21E+01,-1.08E+02,654
1.80E+01,4.88E+01,655
1.02E+02,3.88E+01,656
-1.75E+00,-1.28E+02,657
