Year,Make,Model,Quantity,Country
2014,Suzuki ,Suzuki SX4,121,Japan
2015,Suzuki ,Suzuki SX4,170,Japan
2015,Suzuki ,Suzuki SX4,185,Japan
2015,Suzuki ,Suzuki SX4,187,Japan
2015,Suzuki ,Suzuki Vitara,60,Japan
2015,Suzuki ,Suzuki Vitara,58,Japan
2016,Suzuki ,Suzuki Vitara,219,Japan
2016,Suzuki ,Suzuki Vitara,156,Japan
2016,Suzuki ,Suzuki Vitara,181,Japan
2016,Suzuki ,Suzuki Vitara,154,Japan
2016,Suzuki ,Suzuki Vitara,93,Japan
2016,Suzuki ,Suzuki Vitara,95,Japan
2016,Suzuki ,Suzuki Vitara,128,Japan
2013,Tesla ,Tesla Model S,616,U.S.A
2013,Tesla ,Tesla Model S,553,U.S.A
2014,Tesla ,Tesla Model S,431,U.S.A
2014,Tesla ,Tesla Model S,1493,U.S.A
2014,Tesla ,Tesla Model S,171,U.S.A
2014,Tesla ,Tesla Model S,371,U.S.A
2014,Tesla ,Tesla Model S,536,U.S.A
2014,Tesla ,Tesla Model S,114,U.S.A
2014,Tesla ,Tesla Model S,183,U.S.A
2014,Tesla ,Tesla Model S,104,U.S.A
2014,Tesla ,Tesla Model S,36,U.S.A
2014,Tesla ,Tesla Model S,202,U.S.A
2014,Tesla ,Tesla Model S,267,U.S.A
2015,Tesla ,Tesla Model S,321,U.S.A
2015,Tesla ,Tesla Model S,1140,U.S.A
2015,Tesla ,Tesla Model S,230,U.S.A
2015,Tesla ,Tesla Model S,346,U.S.A
2015,Tesla ,Tesla Model S,566,U.S.A
2015,Tesla ,Tesla Model S,222,U.S.A
2015,Tesla ,Tesla Model S,220,U.S.A
2015,Tesla ,Tesla Model S,127,U.S.A
2015,Tesla ,Tesla Model S,198,U.S.A
2015,Tesla ,Tesla Model S,225,U.S.A
2015,Tesla ,Tesla Model S,373,U.S.A
2016,Tesla ,Tesla Model S,105,U.S.A
2016,Tesla ,Tesla Model S,113,U.S.A
2016,Tesla ,Tesla Model S,487,U.S.A
2016,Tesla ,Tesla Model S,96,U.S.A
2016,Tesla ,Tesla Model S,156,U.S.A
2016,Tesla ,Tesla Model S,284,U.S.A
2016,Tesla ,Tesla Model S,43,U.S.A
2016,Tesla ,Tesla Model S,170,U.S.A
2016,Tesla ,Tesla Model S,247,U.S.A
2016,Tesla ,Tesla Model S,39,U.S.A
2016,Tesla ,Tesla Model S,48,U.S.A
2016,Tesla ,Tesla Model S,263,U.S.A
2010,Toyota ,Toyota Auris,190,Japan
2010,Toyota ,Toyota Auris,149,Japan
2010,Toyota ,Toyota Auris,230,Japan
2010,Toyota ,Toyota Auris,192,Japan
2010,Toyota ,Toyota Auris,212,Japan
2010,Toyota ,Toyota Auris,256,Japan
2010,Toyota ,Toyota Auris,306,Japan
2010,Toyota ,Toyota Auris,254,Japan
2010,Toyota ,Toyota Auris,403,Japan
2010,Toyota ,Toyota Auris,273,Japan
2010,Toyota ,Toyota Auris,270,Japan
2010,Toyota ,Toyota Auris,142,Japan
2011,Toyota ,Toyota Auris,409,Japan
2011,Toyota ,Toyota Auris,283,Japan
2011,Toyota ,Toyota Auris,322,Japan
2011,Toyota ,Toyota Auris,270,Japan
2011,Toyota ,Toyota Auris,259,Japan
2011,Toyota ,Toyota Auris,141,Japan
2011,Toyota ,Toyota Auris,236,Japan
2011,Toyota ,Toyota Auris,243,Japan
2011,Toyota ,Toyota Auris,229,Japan
2011,Toyota ,Toyota Auris,307,Japan
2011,Toyota ,Toyota Auris,301,Japan
2011,Toyota ,Toyota Auris,129,Japan
2012,Toyota ,Toyota Auris,184,Japan
2012,Toyota ,Toyota Auris,219,Japan
2012,Toyota ,Toyota Auris,263,Japan
2012,Toyota ,Toyota Auris,208,Japan
2012,Toyota ,Toyota Auris,299,Japan
2012,Toyota ,Toyota Auris,208,Japan
2012,Toyota ,Toyota Auris,245,Japan
2012,Toyota ,Toyota Auris,171,Japan
2012,Toyota ,Toyota Auris,173,Japan
2012,Toyota ,Toyota Auris,224,Japan
2012,Toyota ,Toyota Auris,199,Japan
2012,Toyota ,Toyota Auris,162,Japan
2013,Toyota ,Toyota Auris,410,Japan
2013,Toyota ,Toyota Auris,400,Japan
2013,Toyota ,Toyota Auris,431,Japan
2013,Toyota ,Toyota Auris,397,Japan
2013,Toyota ,Toyota Auris,269,Japan
2013,Toyota ,Toyota Auris,257,Japan
2013,Toyota ,Toyota Auris,459,Japan
2013,Toyota ,Toyota Auris,511,Japan
2013,Toyota ,Toyota Auris,679,Japan
2013,Toyota ,Toyota Auris,525,Japan
